item,ABC_group,XYZ_group
sku16892,A,X
sku2816,A,Z
sku19087,A,X
sku11019,A,Z
sku19896,A,Z
sku10070,A,X
sku28521,A,X
sku17770,A,Z
sku5431,A,Z
sku28176,A,Z
sku12958,A,Z
sku2523,A,Z
sku5970,A,Y
sku25419,A,Z
sku15861,A,Z
sku22978,A,Z
sku13372,A,X
sku22628,A,X
sku27306,A,Z
sku10291,A,Z
sku27855,A,X
sku13779,A,Z
sku7721,A,Z
sku10026,A,X
sku25123,A,Z
sku21169,A,Y
sku10660,A,X
sku2737,A,Y
sku26696,A,Z
sku23534,A,X
sku17934,A,X
sku5504,A,Z
sku18322,A,X
sku23521,A,Z
sku21380,A,X
sku20924,A,Z
sku27921,A,Y
sku13770,A,Z
sku26894,A,X
sku9077,A,Z
sku14423,A,Z
sku7898,A,X
sku13337,A,Z
sku22712,A,Z
sku1771,A,Z
sku29950,A,Z
sku9327,A,Z
sku18345,A,Z
sku19300,A,X
sku21903,A,Z
sku18113,A,Z
sku29123,A,X
sku1716,A,X
sku4848,A,X
sku8636,A,Z
sku28011,A,X
sku16474,A,X
sku16834,A,Z
sku28326,A,Z
sku27212,A,Z
sku14977,A,X
sku17371,A,Y
sku19151,A,Y
sku2171,A,Z
sku28640,A,Z
sku13785,A,Z
sku29247,A,Z
sku823,A,X
sku7751,A,Z
sku15952,A,X
sku15018,A,Z
sku9411,A,X
sku19273,A,Z
sku794,A,Z
sku14469,A,Z
sku1286,A,Z
sku4225,A,Z
sku556,A,X
sku20174,A,Z
sku19947,A,Z
sku8120,A,X
sku24932,A,Y
sku27956,A,Y
sku14852,A,Z
sku23994,A,Z
sku14297,A,Y
sku22960,A,X
sku505,A,Z
sku23407,A,Z
sku25775,A,X
sku14205,A,Z
sku23264,A,Z
sku14024,A,Z
sku4053,A,Z
sku10666,A,X
sku25280,A,Z
sku15226,A,Z
sku24696,A,Z
sku7384,A,Z
sku20995,A,X
sku5734,A,X
sku12196,A,X
sku2346,A,X
sku18810,A,Z
sku23146,A,X
sku8351,A,X
sku22805,A,Z
sku21986,A,X
sku28681,A,X
sku9025,A,Z
sku28587,A,Z
sku19007,A,Z
sku14081,A,X
sku30219,A,Z
sku19436,A,Z
sku20154,A,Z
sku29913,A,Z
sku21614,A,Z
sku5686,A,X
sku15898,A,X
sku26867,A,Z
sku6947,A,Z
sku26493,A,Z
sku30435,A,Z
sku18424,A,Z
sku3774,A,Z
sku28211,A,Z
sku20986,A,Z
sku11028,A,Z
sku968,A,Z
sku16570,A,Z
sku22570,A,Z
sku29514,A,Z
sku10804,A,Z
sku8380,A,Z
sku15917,A,X
sku25161,A,X
sku16199,A,Y
sku20795,A,Z
sku24780,A,Z
sku30073,A,Z
sku28733,A,X
sku8353,A,X
sku15492,A,X
sku28975,A,Z
sku11321,A,X
sku25337,A,Z
sku28589,A,Z
sku4794,A,Z
sku17108,A,Z
sku18932,A,Z
sku13477,A,Z
sku20784,A,Z
sku16799,A,X
sku12500,A,Z
sku24867,A,X
sku5908,A,Z
sku16184,A,Z
sku21382,A,Z
sku10119,A,Z
sku17460,A,X
sku3430,A,X
sku13824,A,X
sku14185,A,Z
sku5229,A,Z
sku17976,A,Z
sku3956,A,X
sku30053,A,Z
sku19839,A,Z
sku12191,A,Z
sku3301,A,X
sku16832,A,Z
sku6033,A,Y
sku20807,A,Z
sku23853,A,X
sku2307,A,X
sku6627,A,Z
sku23738,A,Z
