item,total_amount,cumulative_percent,ABC_group
sku25276,170749,37.347452250876195,A
sku112,170738,37.37461351948558,A
sku17811,170709,37.40177017472951,A
sku17014,170646,37.428916807834725,A
sku628,170642,37.45606280461366,A
sku1797,170307,37.48315550906761,A
sku4809,170184,37.510228646488805,A
sku17711,170054,37.53728110330626,A
sku16414,170012,37.564326878697905,A
sku15053,169827,37.59134322399963,A
sku16150,169732,37.61834445655248,A
sku25490,169566,37.64531928156518,A
sku23235,169522,37.672287106988925,A
sku5648,169447,37.69924300129514,A
sku11382,169085,37.72614130807405,A
sku16248,168707,37.752979482020585,A
sku1489,168690,37.77981495158048,A
sku14726,168660,37.806645648693355,A
sku26646,168154,37.833395850533265,A
sku28465,168143,37.86014430247594,A
sku12790,168072,37.88688145962734,A
sku30412,167932,37.913596345359345,A
sku20728,167928,37.94031059476508,A
sku1653,167776,37.96700066377261,A
sku16602,167581,37.99365971187455,A
sku3706,167325,38.02027803509531,A
sku9358,167324,38.046896199234496,A
sku26047,167152,38.073487001344134,A
sku4433,167150,38.10007748529064,A
sku9108,167066,38.12665460638551,A
sku12360,166772,38.15318495749963,A
sku89,166726,38.17970799086167,A
sku14868,166704,38.20622752442924,A
sku3547,166428,38.23270315148427,A
sku28378,166310,38.259160006914385,A
sku2681,166275,38.28561129448965,A
sku18401,166066,38.312029334017375,A
sku10442,166042,38.338443555587496,A
sku6512,165865,38.36482961972024,A
sku29443,165447,38.39114918775792,A
sku14955,165276,38.417441552847606,A
sku9841,165270,38.4437329634479,A
sku16779,165087,38.46999526212141,A
sku22280,165005,38.496244516106415,A
sku13992,164774,38.522457022249405,A
sku10789,164704,38.5486583926827,A
sku12963,164680,38.57485594515839,A
sku15905,164672,38.60105222498153,A
sku12116,164665,38.62724739123371,A
sku10083,164588,38.653430308205216,A
sku8652,164516,38.679601771303886,A
sku27173,164411,38.705756530838016,A
sku9604,163561,38.73177607104007,A
sku15983,163556,38.7577948158343,A
sku17223,163296,38.783772199421065,A
sku2055,163268,38.80974512872396,A
sku1280,163220,38.83571042211163,A
sku19753,163219,38.86167555641773,A
sku26436,162454,38.887518993324974,A
sku25742,161333,38.91318409979546,A
sku24976,161175,38.938824071378335,A
sku22571,161016,38.96443874899204,A
sku19553,160903,38.99003545038865,A
sku12708,160801,39.015615925465426,A
sku7552,160722,39.041183833098394,A
sku29634,160615,39.06673471900367,A
sku7918,160521,39.09227065124165,A
sku3448,160503,39.11780372001141,A
sku8533,160269,39.14329956369446,A
sku25899,160241,39.168790953093634,A
sku1343,160240,39.19428218341125,A
sku27070,160014,39.21973746129468,A
sku335,159915,39.24517699010297,A
sku2558,159597,39.27056593097291,A
sku2170,159447,39.29593100960778,A
sku15561,159137,39.32124677295683,A
sku19916,159075,39.34655267324873,A
sku5183,159002,39.371846960586225,A
sku17323,158996,39.39714029343432,A
sku16118,158868,39.42241326384182,A
sku25035,158858,39.44768464343365,A
sku5218,158783,39.472944091907934,A
sku17588,158753,39.498198767935214,A
sku362,158741,39.52345153498369,A
sku25341,158658,39.54869109826209,A
sku22797,158591,39.57392000307549,A
sku13086,158495,39.59913363605845,A
sku3212,158338,39.62432229323537,A
sku21808,157757,39.649418524021776,A
sku27215,157575,39.67448580196297,A
sku1440,157180,39.69949024268515,A
sku10982,157161,39.72449166085755,A
sku9448,156997,39.749466989652944,A
sku9767,156983,39.77444009130639,A
sku14765,156844,39.79939108062201,A
sku13181,156832,39.824340160958826,A
sku2712,156725,39.84927221956796,A
sku13251,156242,39.87412744178016,A
sku13323,156232,39.89898107317669,A
sku28626,156184,39.923827068658,A
sku7033,155792,39.94861070416499,A
sku12197,155174,39.9732960272635,A
sku24475,155113,39.99797164638641,A
sku27250,154854,40.02260606338343,A
sku1824,154624,40.047203891620015,A
sku3210,154561,40.07179169771786,A
sku28476,154177,40.096318416493936,A
sku19247,154169,40.12084386261747,A
sku13821,154068,40.145353241502725,A
sku23266,153802,40.16982030469112,A
sku113,153752,40.19427941380116,A
sku7551,153589,40.21871259261576,A
sku19659,153472,40.243127158887,A
sku13003,153453,40.26753870260846,A
sku28579,153270,40.29192113440315,A
sku4445,152992,40.31625934152216,A
sku25336,152940,40.34058927639969,A
sku24938,152831,40.3649018713864,A
sku3289,152311,40.3891317439582,A
sku20431,152248,40.413351594391266,A
sku19997,152209,40.43756524064322,A
sku30045,152092,40.46176027435182,A
sku27572,152028,40.485945126840114,A
sku1815,151873,40.51010532168551,A
sku29120,151854,40.534262493981124,A
sku4885,151794,40.55841012138272,A
sku27301,151772,40.58255424898983,A
sku25534,151592,40.606669741914864,A
sku10704,151213,40.63072494292595,A
sku14813,150917,40.654733055793166,A
sku11395,150801,40.67872271519859,A
sku26407,150730,40.70270107981275,A
sku16857,150559,40.72665224147893,A
sku23393,150322,40.750565700813695,A
sku4237,150070,40.77443907159355,A
sku11847,150006,40.798302261153104,A
sku23721,149809,40.82213411164393,A
sku26437,149798,40.845964212237526,A
sku24607,149679,40.86977538212462,A
sku20971,149508,40.89355934906374,A
sku12131,149214,40.91729654602213,A
sku21001,149156,40.94102451624962,A
sku25162,148741,40.96468646762675,A
sku5915,148677,40.98833823778358,A
sku4995,148563,41.01197187264176,A
sku22216,148535,41.035601053216055,A
sku23543,148412,41.0592106667576,A
sku20255,148134,41.082776055623484,A
sku21211,148104,41.106336672042346,A
sku3721,147638,41.129823156450925,A
sku6894,147625,41.153307572799136,A
sku1722,147498,41.17677178578831,A
sku6084,147407,41.20022152235489,A
sku15378,147328,41.22365869147765,A
sku6569,147134,41.2470649987764,A
sku1662,147117,41.270468601688506,A
sku12247,146850,41.293829729822185,A
sku10307,146819,41.31718592642728,A
sku1477,146736,41.340528919262304,A
sku15816,146573,41.36384598180189,A
sku8541,146136,41.387093525696635,A
sku23943,146076,41.41033152469735,A
sku15679,146016,41.433559978804034,A
sku23879,145930,41.45677475189595,A
sku24733,145824,41.479972662341744,A
sku26146,145754,41.50315943707785,A
sku15073,145141,41.5262486948133,A
sku7679,145122,41.54933492999896,A
sku26023,144937,41.57239173509472,A
sku13734,144900,41.59544265417248,A
sku8785,144710,41.618463347752495,A
sku15819,144689,41.641480700619596,A
sku29692,144550,41.66447594114886,A
sku28917,144143,41.687406435480305,A
sku11180,144100,41.710330089304364,A
sku11281,143803,41.733206495902984,A
sku10132,143516,41.756037246091836,A
sku8880,143436,41.77885526975532,A
sku24388,143399,41.801667407400814,A
sku29870,143278,41.82446029617669,A
sku24104,143277,41.847253025871,A
sku11482,143080,41.87001441649658,A
sku29271,143035,41.89276864845164,A
sku11700,142409,41.915423295345676,A
sku25044,142378,41.93807301071113,A
sku13524,142242,41.960701090983456,A
sku7206,141763,41.98325297118512,A
sku26495,141379,42.00574376406501,A
sku15495,141266,42.02821658072781,A
sku30206,141081,42.05065996730069,A
sku17230,141048,42.07309810418185,A
sku3359,140807,42.095497902405334,A
sku29734,140803,42.117897064302554,A
sku28950,140735,42.140285408653206,A
sku26361,140715,42.162670571372516,A
